FIPS,y,BreachesPer100K,CensusMean,OpProfitMargin,CapitalExp,OpIncome,AR,BadDebt,BedUtil,OutpatientVisits,ALOS,Pop2020,PopDensity,Native,Hispanic,Black,Asian,Prop65,UE2019,Poverty,AcuteBeds,CMI,PedTrauma,MedCenter
17197,0,0,121.9,-0.055,9934500.5,-16602166.5,142637743.5,8360864.5,0.4675,81623,4.6,690743,319.0605478,0.001,0.171,0.11,0.053219504,0.135,3.8,6.4,752,1.513,0,0
17199,0,0,65.3,0.21,9717047,36661310,108659079,8988987,0.768,113168,4.3,66597,61.19567961,0.002,0.026,0.041,0.011171674,0.195,4.3,14.4,179,1.615,0,0
17201,0,0,166.3666667,-0.016666667,54068438,-6526617.333,165985793.7,22821661.67,0.603333333,303905,5.3,282572,212.582542,0.002,0.125,0.125,0.025972142,0.18,5.7,16.1,812,1.67,0,0
18003,0,0,333.2,0.0628,73867082.4,25838221.2,226719692,58527475.6,0.5498,367965.4,4.8,379299,222.7957602,0.002,0.073,0.112,0.036156172,0.149,3.1,13.5,1257,1.988,1,0
18019,0,0,89.3,-0.016,5306731,-2914721,24849729,13739347,0.583,70206,4.8,118302,122.5082003,0.001,0.053,0.069,0.008089466,0.162,3.3,11.2,153,1.945,0,0
18027,0,0,8.6,-0.178,3225109,-10154960,22814867,3628487,0.205,47335,3.4,33351,29.98181172,0,0.048,0.017,0.001319301,0.154,2.6,11.5,42,1.21,0,0
18035,0,0,203.2,0.049,40272856,21602279,51289647,22380604,0.657,136728,4.9,114135,112.3882475,0.001,0.024,0.071,0.015139966,0.175,3.9,22.5,320,1.67,0,0
18037,0,0,34.9,0.27,41484398,63719087,21101195,10039632,0.364,173610,3.6,42736,38.61847785,0,0.073,0.004,0.006902845,0.179,2.4,7.6,111,1.61,0,0
18039,0,0,123.5,0.067,18810576,19068247,90614000,21832265,0.512,77520,5.1,206341,172.0076056,0.001,0.156,0.053,0.010448723,0.151,3.1,11.5,322,1.785,0,0
18043,0,0,132.5,-0.106,7327659,-31207192,290259764,9836821,0.534,145007,4.3,78522,204.8967174,0.004,0.032,0.052,0.010302845,0.165,3.2,9.5,235,2.015,0,0
18057,0,0,216.86,0.2138,71318670.6,147994667.6,315662361.2,31642459.2,0.3552,232349.6,3.92,338011,330.9591773,0.001,0.039,0.037,0.053873986,0.128,2.5,4.2,570,2.055,0,0
18063,0,0,69.6,0.015,7927096,-2935650,28108705,17488555.5,0.5485,122773.5,4.2,170311,161.6084866,0.002,0.037,0.063,0.026116927,0.142,2.7,5.9,260,1.387,0,0
18067,0,0,44.2,0.1,8489281,16773489.5,49327519.5,7406421.5,0.395,62913,3.85,82544,108.7726895,0.005,0.033,0.07,0.013023357,0.199,4,12.3,220,1.57,0,0
18085,0,0,25.2,0.192,6266685,21804942,35868229,5582842,0.35,64893,3.8,79456,57.72689718,0.003,0.079,0.007,0.012006645,0.173,2.8,9,72,1.35,0,0
18089,0,0,120.45,-0.080833333,14476245.33,2474762,36055323,10919503.33,0.510666667,97513,5.283333333,485493,375.7855656,0.002,0.187,0.236,0.013806584,0.169,4.9,15.7,1796,1.696,0,0
18091,0,0,60.3,0.1005,36362301.5,19128413,37108107,8752685.5,0.57,69696.5,4.7,109888,70.91816222,0.003,0.065,0.11,0.00574221,0.185,4.3,15.7,278,1.575,0,0
18095,0,0,65.45,-0.1065,5968791,-16054583.5,60973400.5,8063220.5,0.4945,103973.5,4.75,129569,110.6983047,0.002,0.039,0.077,0.005881036,0.187,3.7,17,303,1.46,0,0
18097,3,0.311015549,515.4,0.006555556,62881870.33,-73344314.11,537876477.2,75901364.22,0.631111111,522882.1111,5.377777778,964582,939.4199422,0.002,0.102,0.275,0.030445312,0.129,3.3,17.2,3629,1.826,0,0
18105,0,0,152.6,0.221,9443931,105748172,61662141,21848883,0.582,227831,5,148431,145.2632514,0.002,0.034,0.029,0.06419818,0.136,3.3,21.4,286,1.755,0,0
18107,0,0,9,0.056,4022407,3462015,11999929,529648,0.309,24197,3.6,38338,29.33214463,0.002,0.048,0.008,0.008190307,0.183,3.1,10.8,29,1.3,0,0
